url,host,tld,scheme,url_length,path_length,host_length,host_is_ip,has_port_in_string,num_digits,parameters,fragments,is_encoded,string_entropy,alexa_dis_similarity,subdirectories,periods,has_client,has_login,has_admin,has_server,num_encoded_chars,page_entropy,num_script_tags,script_to_body_ratio,html_length,page_tokens,num_sentences,num_punctuations,distinct_tokens,capitalizations,avg_tokens_per_sentence,num_html_tags,num_hidden_tags,num_iframes,num_embeds,num_objects,hyperlinks,num_whitespaces,num_included_elemets,num_double_documents,num_suspicious_elements,num_eval_functions,avg_script_length,avg_script_entropy,num_suspicious_functions,num_subdomains,registration_date,expiration_date,last_updates_dates,age,intended_life_span,life_remaining,registrar,reg_country,host_country,open_ports,num_open_ports,is_live,isp,connection_speed,avg_update_days,total_updates,ttl,length_url,length_hostname,ip,nb_dots,nb_hyphens,nb_at,nb_qm,nb_and,nb_or,nb_eq,nb_underscore,nb_tilde,nb_percent,nb_slash,nb_star,nb_colon,nb_comma,nb_semicolumn,nb_dollar,nb_space,nb_www,nb_com,nb_dslash,http_in_path,https_token,ratio_digits_url,ratio_digits_host,punycode,port,tld_in_path,tld_in_subdomain,abnormal_subdomain,nb_subdomains,prefix_suffix,shortening_service,path_extension,nb_redirection,nb_external_redirection,length_words_raw,char_repeat,shortest_words_raw,shortest_word_host,shortest_word_path,longest_words_raw,longest_word_host,longest_word_path,avg_words_raw,avg_word_host,avg_word_path,phish_hints,domain_in_brand,brand_in_subdomain,brand_in_path,suspecious_tld,statistical_report,login_form,external_favicon,links_in_tags,submit_email,ratio_intMedia,ratio_extMedia,sfh,iframe,popup_window,safe_anchor,onmouseover,right_clic,empty_title,domain_in_title,domain_with_copyright,whois_registered_domain,domain_registration_length,dns_record,page_rank,tag
['http://tinyurl.com/2p9n4u6v'],172.67.1.225,com,http,27,9,11,False,False,4,0,0,False,4.1804513908921015,0,2,1,False,False,False,False,0,4.636600301567841,14,0.0853781512605042,26775,1663,520,3072,854,303,4.173076923076923,219,0,0,0,0,25,7677,4,0,219,0,162.35714285714286,3.3406784350886105,0,0,None,None,None,0,0,0,,,US,"[8080, 2082, 2083, 2086, 2087, 80, 8880, 8443, 443]",9,True,"Cloudflare, Inc.",0.246198,0,0,0,27,11,Don't have Ip in url,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.14814814814814814,0.0,0,0,0,0,0,1,0,tinyurl,0,2,0,2,0,7,7,8,8,7,8,7.5,7.0,8.0,0,0,0,0,com is not a suspecious tld,0,0,1,50.0,0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,1930,0,8,phishing
['http://new90702.24houcryptowatcher.com/'],104.21.40.148,com,http,39,1,31,False,False,7,0,0,False,4.2336188853070205,0,2,2,False,False,False,False,0,5.030912467897808,1,0.5422222222222223,675,60,16,87,42,22,4.6875,7,0,0,0,0,0,35,0,0,7,0,366.0,4.789901097394087,0,1,None,None,None,0,0,0,,,US,"[8080, 2082, 2083, 2086, 2087, 80, 8880, 8443, 443]",9,True,"Cloudflare, Inc.",0.666925,0,0,0,39,31,Don't have Ip in url,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.1794871794871795,0.22580645161290322,0,0,0,0,0,2,0,0,0,0,0,2,0,8,8,0,18,18,0,13.0,13.0,0,0,0,0,0,com is not a suspecious tld,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,189,0,0,phishing
['https://usps.terrirreed.top/'],170.106.109.9,top,https,28,1,19,False,False,0,0,0,False,3.4852281360342507,0,2,2,False,False,False,False,0,4.216205469457133,1,0.0,78,4,2,11,4,0,2.5,1,0,0,0,0,0,3,1,-3,1,0,0.0,0.0,0,2,None,None,None,0,0,0,,,US,"[80, 443, 22]",3,True,"Tencent Building, Kejizhongyi Avenue",0.639998,0,0,0,28,19,Don't have Ip in url,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,2,3,4,4,0,10,10,0,7.0,7.0,0,0,0,0,0,top,0,0,0,100.0,0,0,0,0,0,0,0,0,0,1,1,0,0,344,0,0,phishing
['https://carrinhoofertas.com/v1//?COMON%2F=INDEX&id=13&tokenize'],51.120.247.117,com,https,62,5,19,False,False,4,3,0,True,4.556951302595091,0,4,1,False,False,False,False,1,5.589776675085264,8,0.005167152943272679,179596,5225,4865,20945,2321,27002,2.0608427543679344,835,0,2,0,0,2,4586,6,0,835,0,115.125,2.20346193736921,0,1,None,None,None,0,0,0,,,NO,"[80, 443, 22]",3,True,Microsoft Corporation,0.779335,0,0,0,62,19,Don't have Ip in url,1,0,0,1,2,0,2,0,0,1,5,0,1,0,0,0,0,0,1,1,0,0,0.06451612903225806,0.0,0,0,1,0,0,1,0,0,0,0,0,8,2,2,15,2,15,15,8,5.125,15.0,3.7142857142857144,0,0,0,0,com is not a suspecious tld,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,293,0,0,phishing
['http://grup-wa1scd.terbaru-2023.com/'],104.21.67.119,com,http,36,1,28,False,False,5,0,0,False,4.384795487373133,0,2,2,False,False,False,False,0,4.6416152423596895,0,0,111,7,2,10,7,2,4.0,4,0,0,0,0,0,2,0,-1,4,0,0,0,0,1,None,None,None,0,0,0,,,US,"[8080, 2082, 2083, 2053, 2086, 2087, 2095, 80, 8880, 8443, 443]",11,True,"Cloudflare, Inc.",3.129461,0,0,0,36,28,Don't have Ip in url,2,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.1388888888888889,0.17857142857142858,0,0,0,0,0,2,0,0,0,1,0,4,0,4,4,0,7,7,0,5.25,5.25,0,0,0,0,0,com is not a suspecious tld,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,180,0,0,phishing
['https://brasscustoms.com/'],154.89.115.135,com,https,25,1,16,False,False,0,0,0,False,3.559079570624174,0,2,1,False,False,False,False,0,6.04829147255084,2,0.0012515644555694619,799,35,18,97,30,18,2.888888888888889,10,0,0,0,0,0,21,2,0,10,0,0.0,0.0,0,1,None,None,None,0,0,0,,,HK,"[80, 1234, 443]",3,True,ABCDE GROUP COMPANY LIMITED,0.181913,0,0,0,25,16,Don't have Ip in url,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,2,0,1,1,12,12,0,12,12,0,12.0,12.0,0,0,0,0,0,com is not a suspecious tld,0,0,0,50.0,0,0,0,0,0,0,0,0,0,0,1,1,0,210,0,0,phishing
['https://sparkasse.neu-dp.info/de/sp'],104.21.19.42,info,https,35,6,21,False,False,0,0,0,False,3.918867931899244,0,3,2,False,False,False,False,0,5.555903979824088,9,0.6529381965552178,19740,512,447,4963,438,777,2.1387024608501117,88,0,0,0,0,19,508,0,0,88,0,1431.2222222222222,5.058000046498721,3,1,None,None,None,0,0,0,,,US,"[2096, 2082, 2083, 2086, 2087, 80, 8880, 8080, 8443, 443]",10,True,"Cloudflare, Inc.",0.778363,0,0,0,35,21,Don't have Ip in url,2,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,2,1,0,0,0,0,5,1,2,2,2,9,9,2,3.6,4.666666666666667,2.0,0,0,0,0,info is not a suspecious tld,0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,352,0,0,phishing
['http://ff-menmber-garena.vn/IlrKxrTYrVdknohejHVL4cwFV8iBQShsZIvxnRN7OrPbUewoT0dD019BTKkWnHVFrCOybfP25atkWHkXYdZ5lGnEqHzQlkC3h21Y_index'],103.200.23.160,vn,http,134,107,20,False,False,13,0,0,False,5.019745232497084,0,2,1,False,False,False,False,0,5.189613966523589,2,0.0005449591280653951,1835,118,46,214,84,88,3.5217391304347827,28,0,0,0,0,0,85,2,0,28,0,0.0,0.0,0,2,None,None,None,0,0,0,,,VN,"[2096, 2082, 2083, 2086, 80, 995, 443, 2077]",8,True,VIETNAM POSTS AND TELECOMMUNICATIONS GROUP,0.057907,0,0,0,134,20,"Detect <re.Match object; span=(77, 84), match='0dD019B'> in url",1,2,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.09701492537313433,0.0,0,0,0,0,0,1,0,0,0,1,0,5,3,2,2,5,100,7,100,24.0,5.0,52.5,0,0,0,0,vn is not a suspecious tld,0,0,1,81.25,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,phishing
['http://claimdaget.getnewsxz.my.id/'],104.21.1.189,id,http,34,1,26,False,False,0,0,0,False,4.13850217929474,0,2,3,False,False,False,False,0,1.584962500721156,0,0,3,1,1,0,1,2,1.0,1,0,0,0,0,0,0,0,-3,1,0,0,0,0,2,None,None,None,0,0,0,,,US,"[8080, 2082, 2083, 2086, 2087, 80, 8880, 8443, 443]",9,True,"Cloudflare, Inc.",0.708318,0,0,0,34,26,Don't have Ip in url,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,3,0,0,0,1,0,2,0,9,9,0,10,10,0,9.5,9.5,0,0,0,0,0,my.id is not a suspecious tld,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,219,0,0,phishing
['https://permohonanbaru-sumbangantunairahmah.perniagaanplasa.com/'],103.123.62.104,com,https,64,1,55,False,False,0,0,0,False,3.993039500408212,0,2,2,False,False,False,False,0,5.214382673760176,4,0.14597360624831673,11139,599,617,1715,384,142,1.959481361426256,69,0,0,0,0,4,1938,1,0,69,0,405.75,3.532051413582392,1,1,2015-04-14 06:43:32,2030-04-14 06:43:32,2022-01-03 15:18:46,3107,5479,2371,WEBCC,id,ID,[2087],1,True,PT Cloud Hosting Indonesia,0.168803,0,0,3107,64,55,Don't have Ip in url,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,2,1,0,0,0,0,3,1,14,14,0,20,20,0,16.333333333333332,16.333333333333332,0,0,0,0,0,com is not a suspecious tld,0,0,0,100.0,0,100.0,0.0,0,0,0,0,0,0,0,1,0,0,347,0,0,phishing
